helicopter,tanker,fuel,jet,tree,house,bridge,missile,ship
2,2,0,0,0,0,1,0,0
2,1,1,0,0,0,0,0,0
2,5,4,1,0,0,1,0,0
6,5,6,0,0,0,1,0,0
0,4,1,0,0,0,0,0,0
6,8,5,1,0,0,2,0,0
4,5,3,0,0,0,1,0,0
5,10,11,0,0,0,2,0,0
1,3,3,2,0,0,0,0,0
9,8,8,0,0,0,2,0,0
