3,-20.987000211142004
6,-22.81100025586784
9,-23.516500323079526
12,-47.75000160932541
15,-20.389500150457025
18,-23.083500266075134
21,-17.346500270999968
24,-17.310500228777528
27,-20.03150026872754
30,-19.907500258646905
33,-23.356500297784805
36,-22.316000304184854
39,-16.835000263527036
42,-19.345500230789185
45,-20.560500187799335
48,-17.47200025804341
51,-47.75000160932541
54,-21.13650020584464
57,-21.115500267595053
60,-16.55400024075061
63,-24.11000031698495
66,-23.978500310331583
69,-17.314500260166824
72,-47.75000160932541
75,-22.62200028821826
78,-17.285500207915902
81,-20.709500164724886
84,-22.228000288829207
87,-23.25550027936697
90,-21.511000353842974
93,-47.75000160932541
96,-20.59300020057708
99,-21.612000175751746
102,-21.130500280298293
105,-20.45800014771521
108,-20.314000160433352
111,-23.7040002848953
114,-19.90350024215877
117,-21.200500280596316
120,-20.532000196166337
123,-20.550000199116766
126,-17.814500235952437
129,-24.108000312931836
132,-20.98050018772483
135,-20.398000167682767
138,-18.384000269696116
141,-20.040000157430768
144,-18.477500280365348
147,-20.731000234372914
150,-19.991500155068934
153,-18.384000269696116
